surrogate key,date,month,year
952,2022-11-06,11,2022
953,2022-11-06,11,2022
954,2022-11-07,11,2022
955,2022-11-08,11,2022
956,2022-11-11,11,2022
957,2022-11-12,11,2022
958,2022-11-13,11,2022
959,2022-11-14,11,2022
960,2022-11-14,11,2022
961,2022-11-15,11,2022
962,2022-11-17,11,2022
963,2022-11-19,11,2022
964,2022-11-20,11,2022
965,2022-11-20,11,2022
966,2022-11-22,11,2022
967,2022-11-23,11,2022
968,2022-11-23,11,2022
969,2022-11-24,11,2022
970,2022-11-24,11,2022
971,2022-11-25,11,2022
972,2022-11-28,11,2022
973,2022-11-30,11,2022
974,2022-12-02,12,2022
975,2022-12-03,12,2022
976,2022-12-04,12,2022
977,2022-12-04,12,2022
978,2022-12-05,12,2022
979,2022-12-06,12,2022
980,2022-12-06,12,2022
981,2022-12-07,12,2022
982,2022-12-10,12,2022
983,2022-12-10,12,2022
984,2022-12-13,12,2022
985,2022-12-17,12,2022
986,2022-12-17,12,2022
987,2022-12-19,12,2022
988,2022-12-20,12,2022
989,2022-12-20,12,2022
990,2022-12-21,12,2022
991,2022-12-21,12,2022
992,2022-12-23,12,2022
993,2022-12-25,12,2022
994,2022-12-25,12,2022
